color_name,hex,R,G,B
IndianRed,#CD5C5C,205,92,92
LightCoral,#F08080,240,128,128
Salmon,#FA8072,250,128,114
DarkSalmon,#E9967A,233,150,122
LightSalmon,#FFA07A,255,160,122
Crimson,#DC143C,220,20,60
Red,#FF0000,255,0,0
FireBrick,#B22222,178,34,34
DarkRed,#8B0000,139,0,0
Pink,#FFC0CB,255,192,203
LightPink,#FFB6C1,255,182,193
HotPink,#FF69B4,255,105,180
DeepPink,#FF1493,255,20,147
MediumVioletRed,#C71585,199,21,133
PaleVioletRed,#DB7093,219,112,147
Coral,#FF7F50,255,127,80
Tomato,#FF6347,255,99,71
OrangeRed,#FF4500,255,69,0
DarkOrange,#FF8C00,255,140,0
Orange,#FFA500,255,165,0
Gold,#FFD700,255,215,0
Yellow,#FFFF00,255,255,0
LightYellow,#FFFFE0,255,255,224
LemonChiffon,#FFFACD,255,250,205
LightGoldenrodYellow,#FAFAD2,250,250,210
PapayaWhip,#FFEFD5,255,239,213
Moccasin,#FFE4B5,255,228,181
PeachPuff,#FFDAB9,255,218,185
PaleGoldenrod,#EEE8AA,238,232,170
Khaki,#F0E68C,240,230,140
DarkKhaki,#BDB76B,189,183,107
Lavender,#E6E6FA,230,230,250
Thistle,#D8BFD8,216,191,216
Plum,#DDA0DD,221,160,221
Violet,#EE82EE,238,130,238
Orchid,#DA70D6,218,112,214
Fuchsia,#FF00FF,255,0,255
Magenta,#FF00FF,255,0,255
MediumOrchid,#BA55D3,186,85,211
MediumPurple,#9370DB,147,112,219
BlueViolet,#8A2BE2,138,43,226
DarkViolet,#9400D3,148,0,211
DarkOrchid,#9932CC,153,50,204
DarkMagenta,#8B008B,139,0,139
Purple,#800080,128,0,128
Indigo,#4B0082,75,0,130
SlateBlue,#6A5ACD,106,90,205
DarkSlateBlue,#483D8B,72,61,139
MediumSlateBlue,#7B68EE,123,104,238
